name,name_encoded
Bitcoin,985
Namecoin,5438
Peercoin,6014
Novacoin,5645
Terracoin,7843
Litecoin,4615
Feathercoin,2991
Freicoin,3189
Ixcoin,4118
Worldcoin Wdc,8734
Digitalcoin,2341
Goldcoin,3484
Phoenixcoin,6148
Primecoin,6415
Anoncoin,378
Xrp,8921
Quark,6538
Zetacoin,9084
Tagcoin,7763
Public Index Network,6468
Nxt,5676
Datacoin,2111
Deutsche Emark,2268
Dogecoin,2429
Diamond,2311
Hobonickels,3809
Unobtanium,8298
Omni,5757
Fedoracoin,2992
Dimecoin,2350
42-Coin,46
Vertcoin,8441
Digibyte,2325
Potcoin,6381
Reddcoin,6682
Maxcoin,4860
Dash,2105
Counterparty,1815
Mintcoin,5154
Dopecoin,2487
Marscoin,4823
Uniform Fiscal Object,8258
Auroracoin,613
Blackcoin,1089
Myriad,5421
Dnotes,2392
Magic Internet Money,4759
Monacoin,5233
Bela,853
Rubycoin,6845
Munt,5384
Einsteinium,2667
Groestlcoin,3588
Petrodollar,6130
Plncoin,6250
Whitecoin,8654
Bitstar,1066
Quebecoin,6543
Maidsafecoin,4773
Bluecoin,1160
Bitcoin Plus,1009
Newyorkcoin,5534
Pinkcoin,6183
Dreamcoin,2533
Monero,5238
Curecoin,2012
Motocoin,5341
Cloakcoin,1657
Bitsend,1060
Coin2.1,1689
Navcoin,5452
Startcoin,7545
Bytecoin,1375
Digitalnote,2343
Hempcoin,3727
Stealth,7560
Viacoin,8456
Bitshares,1061
Cannabiscoin,1413
Carboncoin,1432
Cryptonite,1974
Stellar,7568
Syscoin,7754
Emercoin,2716
Donu,2481
Clams,1638
Rabbitcoin,6566
Gamecredits,3287
Nativecoin,5450
Ubiq,8202
Acoin,94
Opal,5797
Bitcny,984
Trollcoin,8118
Globalboost-Y,3436
Prime-Xi,6414
Bitswift,1068
Verge,8431
Spreadcoin,7476
Rimbit,6767
Blocknet,1128
Crown,1890
Gcn Coin,3331
Quotient,6557
Okcash,5735
Paycoin,5992
Circuits Of Value,1625
Nexus,5546
Smileycoin,7276
Kobocoin,4374
Bean Cash,825
Tether Usdt,7855
Tether Avalanche Bridged,7850
Gridcoin,3578
Wild Beast Block,8666
X-Coin,8829
Litedoge,4622
Woodcoin,8716
Songcoin,7368
Nem,5470
Xaurum,8846
Californium,1398
Mediccoin,4905
Bubble,1314
Universal Currency,8281
Parkbyte,5966
Arbit,456
Bata,808
Audiocoin,601
Synergy,7747
Ratecoin,6626
Crevacoin,1865
Bowscoin,1258
Hnc Coin,3806
Manna,4789
Axiom,668
Aeon,133
Ethereum,2819
Transfercoin,8074
Guccionecoin,3603
Amsterdamcoin,346
Agoras: Currency Of Tau,160
Eurocoin,2856
Global Currency Reserve,3425
Siacoin,7186
Vectorai,8398
Bolivarcoin,1213
Expanse,2909
Pakcoin,5920
Sibcoin,7188
Swing,7723
Save And Gain,6971
Augur,603
Stronghands,7632
Pac Protocol,5913
Draftcoin,2515
Clubcoin,1666
Adzcoin,129
Avatarcoin,644
Validity,8375
Litecred,4621
Yocoin,9001
Salus,6933
Francs,3172
Evil Coin,2889
Decred,2161
Pivx,6198
Rubies,6840
Freedomcoin,3184
Memetic / Pepecoin,4942
Independent Money System,4005
Nevacoin,5516
Cabbage,1384
Posex,6375
Mojocoin,5226
Lisk,4612
Edrcoin,2647
Postcoin,6378
Berncash,877
Digixdao,2346
Steem,7563
Fuzzballs,3250
Aquariuscoin,438
Hicoin,3758
Bitcoin 21,988
Zurcoin,9150
2Give,36
Platinumbar,6226
Ponzicoin,6338
Lanacoin,4471
Citadel,1629
Waves,8599
Ion,4073
High Voltage,3771
Goldblocks,3482
Comet,1740
Chesscoin,1572
Putincoin,6501
Lbry Credits,4499
Cryptojacks,1962
Steem Dollars,7564
Ardor,483
Ethereum Classic,2821
Karbo,4252
Stratis,7608
Tajcoin,7769
Aces,89
Veltor,8417
Neo,5473
Nolimitcoin,5625
Pluton,6258
Zayedcoin,9047
Mustangcoin,5395
Dollarcoin,2467
Firo,3049
Zcash,9048
Allsafe,285
Zclassic,9049
Golem,3501
Hush,3904
Kurrent,4438
Pascal,5975
Eternity,2804
Obyte,5693
Posw Coin,6379
Wings,8675
Jupiter,4213
Alias,260
Purevidz,6496
Icobid,3947
Ibank,3938
Maker,4778
Firstcoin,3053
Komodo,4389
Iconic,3950
Enzyme,2756
