cmcRank,name,symbol,marketPairCount,circulatingSupply,totalSupply,maxSupply,isActive,lastUpdated,dateAdded,price,volume24h,marketCap,percentChange1h,percentChange24h,percentChange7d,percentChange30d,percentChange60d,percentChange90d,fullyDilluttedMarketCap,marketCapByTotalSupply,dominance,ytdPriceChangePercentage,year_added,month_added,day_added,weekday_added
699,Diamond,USD,8,3773115.57453871,3773115.57453871,4380000.0,1,2023-09-04 14:58:00+00:00,2013-12-19 00:00:00+00:00,3.2211412559936576,4546.88131023,12153738.240778852,-0.44311868,-0.35401084,-3.2826824,-12.19887252,-14.53231889,-5.53568816,14108598.7,12153738.240778852,0.0,60.7424,2013,12,19,3
7293,Paycoin,USD,1,0.0,11995342.4784,0.0,1,2023-09-04 15:00:00+00:00,2014-12-16 00:00:00+00:00,0.0002585968204026,0.0,0.0,-0.12636533,-0.27100714,-1.02120842,-77.75497097,-91.42575948,-90.05951459,3101.96,3101.9574245546933,0.0,-84.4454,2014,12,16,1
6057,Yocoin,USD,8,0.0,554925922.736552,0.0,1,2023-09-04 14:59:00+00:00,2016-01-21 00:00:00+00:00,3.898285237614201e-05,113.47414759,0.0,-0.04594255,55.94820051,27.88116744,-32.21663551,-17.61402023,-54.38856364,21632.6,21632.5953257334,0.0,-52.0381,2016,1,21,3
3024,Enigma,USD,7,0.0,150000000.0,0.0,1,2023-09-04 14:58:00+00:00,2017-10-13 00:00:00+00:00,0.0078223986507348,84087.82350071,0.0,-2.27743594,-23.49862926,-20.8990121,-9.81148743,-33.34707938,-13.91111171,1173359.8,1173359.7976102205,0.0,93.4515,2017,10,13,4
2493,Paycoin,USD,12,0.0,1900000000.0,1900000000.0,1,2023-09-04 14:58:00+00:00,2020-03-05 00:00:00+00:00,0.0346653563496169,279755.11503887,0.0,-1.05014497,13.92042576,-17.06063571,-32.48223355,-25.39365281,-25.81166216,65864177.06,65864177.0642722,0.0,-86.2158,2020,3,5,3
1886,Dogeswap,USD,4,20000.0,20000.0,0.0,1,2023-09-04 14:58:00+00:00,2020-10-12 00:00:00+00:00,3.490368748864877,0.0,69807.37497729754,-0.13759463,-0.24287658,-1.01237111,-36.78156315,-12.26117992,57.99316421,69807.37,69807.37497729754,0.0,61.5466,2020,10,12,0
3753,Starlink,USD,10,0.0,0.0,1000000000.0,1,2023-09-04 14:58:00+00:00,2021-02-20 00:00:00+00:00,0.0001277108159502,20068.8850873,0.0,-0.01802864,-0.91022608,-2.64570771,-2.5781484,-0.46654831,-9.43242069,127710.82,0.0,0.0,-22.9186,2021,2,20,5
4080,Safemars,USD,27,0.0,393255866290058.0,1000000000000000.0,1,2023-09-04 14:59:00+00:00,2021-03-26 00:00:00+00:00,5.276302428902401e-09,14153.34671164,0.0,-0.20687111,-3.96647527,-9.01886139,-19.96908934,-22.5850766,-33.49536362,5276302.43,2074936.8824863508,0.0,-38.6058,2021,3,26,4
233,Tribe,USD,67,516223775.20495343,1000000000.0,1000000000.0,1,2023-09-04 14:58:00+00:00,2021-03-30 00:00:00+00:00,0.2647116122172754,243299.15522861,136650427.7993916,-0.12616771,0.37087285,0.13924893,-6.59106887,-8.48930591,-7.19964271,264711612.22,264711612.21727547,0.0,31.4156,2021,3,30,1
1159,Starship,USD,11,18908258.0222294,20000000.0,20000000.0,1,2023-09-04 14:58:00+00:00,2021-05-20 00:00:00+00:00,0.0987530021994489,2980.49928926,1867247.246056968,-0.60241473,-1.97727979,-29.62463316,-63.36728149,254.12144109,196.33155058,1975060.04,1975060.0439889785,0.0,56.4283,2021,5,20,3
